permutation;execution_tree;approx_time;actual_time
[6 3 2 4 0 5 1];((((lineorderX(date𝜎d_year≤1997))X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']));8.579206382589359;2.542222261428833
[3 1 6 0 5 2 4];((((lineorderXsupplier)X(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992))𝜎s_region∊['ASIA']);8.580126727264135;3.300150156021118
[3 1 4 0 2 6 5];((((((lineorderXsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))Xdate)𝜎d_year≤1997)𝜎d_year≥1992);8.579507739587823;2.7491047382354736
[2 1 3 6 0 4 5];((((((lineorderXdate)Xsupplier)𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']))𝜎s_region∊['ASIA'])𝜎d_year≥1992);8.58057171689434;8.112259864807129
[3 1 6 0 4 2 5];(((((lineorderXsupplier)X(customer𝜎c_region∊['ASIA']))𝜎s_region∊['ASIA'])X(date𝜎d_year≤1997))𝜎d_year≥1992);8.579743777599289;2.925334930419922
[4 0 6 3 1 2 5];(((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']))X(date𝜎d_year≤1997))𝜎d_year≥1992);8.591385556505369;2.767029047012329
[6 2 1 4 0 5 3];((((((lineorderX(date𝜎d_year≤1997))Xsupplier)𝜎s_region∊['ASIA'])Xcustomer)𝜎d_year≥1992)𝜎c_region∊['ASIA']);8.591082771004936;6.8184895515441895
[5 1 2 0 3 6 4];((((((lineorderXsupplier)X(date𝜎d_year≥1992))Xcustomer)𝜎c_region∊['ASIA'])𝜎d_year≤1997)𝜎s_region∊['ASIA']);8.591621820890387;12.469516277313232
[1 4 6 0 2 3 5];((((((lineorderXsupplier)𝜎s_region∊['ASIA'])Xcustomer)X(date𝜎d_year≤1997))𝜎c_region∊['ASIA'])𝜎d_year≥1992);8.590735657817719;3.789794921875
[0 6 5 4 1 2 3];((((lineorderXcustomer)X(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992))𝜎c_region∊['ASIA']);8.605055258269209;3.4369726181030273
[6 3 2 4 5 1 0];((((lineorderX(date𝜎d_year≤1997))𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']));8.578953257640459;3.3010847568511963
