permutation;execution_tree;approx_time;actual_time
[6 1 5 0 3 4 2];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xcustomer)Xdate)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.64683597455884;3.4706830978393555
[2 4 0 1 3 5 6];((((((lineorderXpart)X(customer𝜎c_region∊['AMERICA']))Xsupplier)Xdate)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.871713241107384;4.501909017562866
[2 3 5 0 1 6 4];((((((lineorderXpart)Xdate)Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);8.881617051158267;13.179548263549805
[0 4 5 2 3 1 6];((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.736465430635384;3.6667892932891846
[4 2 1 6 0 5 3];((((((lineorderXpart)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])Xdate);8.868979729235758;7.4413604736328125
[6 2 4 3 1 0 5];(((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)Xsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA']);8.684817673890171;3.7088024616241455
[5 0 2 1 4 6 3];((((((lineorderXcustomer)Xpart)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);8.765045141576397;6.874590635299683
[0 5 2 6 1 3 4];((((((lineorderXcustomer)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate)𝜎c_region∊['AMERICA']);8.751914978074339;7.84458327293396
[2 1 4 6 0 3 5];((((((lineorderXpart)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎s_region∊['AMERICA']);8.868979742130163;7.788971662521362
[4 3 5 0 6 2 1];((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']));8.637095456894816;2.6726064682006836
[6 0 4 3 5 2 1];(((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']));8.647488470116452;3.194234609603882
[5 4 6 3 1 2 0];((((lineorderXdate)X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']));8.635715671893607;2.675903081893921
[1 5 2 0 3 6 4];(((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xpart)Xcustomer)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);8.735811806911665;4.437153577804565
[0 4 1 2 5 6 3];(((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xsupplier)Xpart)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);8.736878780111402;3.6770987510681152
