permutation;execution_tree;actual_time;actual_mem_peak
[5 6 0 1 4 2 3];(((((lineorderXcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate);2.694936990737915;3369378012
[5 0 3 2 1 6 4];((((((lineorderXcustomer)Xdate)Xpart)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);12.32655143737793;7119851574
[6 4 2 5 3 1 0];((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']));2.4497010707855225;2227799060
[0 1 2 4 6 5 3];(((((((lineorderXcustomer)Xsupplier)Xpart)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])Xdate);12.677414178848267;5679887088
[1 2 3 5 0 6 4];(((((((lineorderXsupplier)Xpart)Xdate)𝜎s_region∊['AMERICA'])Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);13.523595809936523;6579591246
[2 1 6 3 0 4 5];(((((((lineorderXpart)Xsupplier)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA']);11.157352447509766;4611312789
[0 2 5 4 3 1 6];((((((lineorderXcustomer)Xpart)𝜎c_region∊['AMERICA'])Xdate)X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);7.881755352020264;4671800287
[0 6 2 1 5 3 4];((((((lineorderXcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xsupplier)𝜎s_region∊['AMERICA'])Xdate)𝜎c_region∊['AMERICA']);5.783529281616211;3377460460
[3 6 1 5 2 4 0];(((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']));6.693700313568115;5769599056
[6 3 2 5 0 4 1];(((((lineorderXdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']));5.625241994857788;4233638822
[1 5 4 2 0 6 3];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);3.1155362129211426;3281441588
[0 1 4 2 3 6 5];(((((((lineorderXcustomer)Xsupplier)𝜎c_region∊['AMERICA'])Xpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);8.345996618270874;4479760951
